"State","Year","Month","Lat","Long_","Confirmed","Deaths","Incident_Rate","Total_Test_Results","Case_Fatality_Ratio","Testing_Rate","Atmospheric.Pressure","Humidity","Indicator","Value"
"Alabama",2020,"Aug",32.3182,-86.9023,107094.451612903,1880.03225806452,2184.18133545651,1729772.17948287,1.89895454501869,18946.942781573,879.770094396552,71.876874637931,"Symptoms of Anxiety Disorder",30.6
"Alabama",2020,"Aug",32.3182,-86.9023,107094.451612903,1880.03225806452,2184.18133545651,1729772.17948287,1.89895454501869,18946.942781573,879.770094396552,71.876874637931,"Symptoms of Depressive Disorder",27.7
"Alabama",2020,"Aug",32.3182,-86.9023,107094.451612903,1880.03225806452,2184.18133545651,1729772.17948287,1.89895454501869,18946.942781573,879.770094396552,71.876874637931,"Symptoms of Anxiety Disorder or Depressive Disorder",37.2
"Alabama",2020,"Dec",32.3182,-86.9023,303290.774193548,4212.1935483871,6185.58700504975,3474381.39105035,1.39243406829161,69533.8970886328,917.165277774194,72.0569444193548,"Symptoms of Anxiety Disorder",35.8
"Alabama",2020,"Dec",32.3182,-86.9023,303290.774193548,4212.1935483871,6185.58700504975,3474381.39105035,1.39243406829161,69533.8970886328,917.165277774194,72.0569444193548,"Symptoms of Anxiety Disorder or Depressive Disorder",41.25
"Alabama",2020,"Dec",32.3182,-86.9023,303290.774193548,4212.1935483871,6185.58700504975,3474381.39105035,1.39243406829161,69533.8970886328,917.165277774194,72.0569444193548,"Symptoms of Depressive Disorder",32.8
"Alabama",2020,"Jul",32.3182,-86.9023,60940.2903225806,1219.54838709677,1242.87152784528,1229646.9587496,1.95859093827149,12178.9984876108,920.405376387097,73.281927172043,"Symptoms of Anxiety Disorder or Depressive Disorder",41
"Alabama",2020,"Jul",32.3182,-86.9023,60940.2903225806,1219.54838709677,1242.87152784528,1229646.9587496,1.95859093827149,12178.9984876108,920.405376387097,73.281927172043,"Symptoms of Anxiety Disorder",36.4
"Alabama",2020,"Jul",32.3182,-86.9023,60940.2903225806,1219.54838709677,1242.87152784528,1229646.9587496,1.95859093827149,12178.9984876108,920.405376387097,73.281927172043,"Symptoms of Depressive Disorder",30.5666666666667
"Alabama",2020,"Jun",32.3182,-86.9023,26415.3666666667,779.233333333333,538.738935338289,679581.377006339,2.26044426594434,6174.71275008152,971.234172777778,66.7907595714286,"Symptoms of Depressive Disorder",27.36
"Alabama",2020,"Jun",32.3182,-86.9023,26415.3666666667,779.233333333333,538.738935338289,679581.377006339,2.26044426594434,6174.71275008152,971.234172777778,66.7907595714286,"Symptoms of Anxiety Disorder",32.32
"Alabama",2020,"Jun",32.3182,-86.9023,26415.3666666667,779.233333333333,538.738935338289,679581.377006339,2.26044426594434,6174.71275008152,971.234172777778,66.7907595714286,"Symptoms of Anxiety Disorder or Depressive Disorder",37.28
"Alabama",2020,"May",32.3182,-86.9023,11822.1935483871,454.193548387097,241.11253294312,473206.807289124,2.40953265930267,3421.65072962477,1002.08466235484,59.6705654166667,"Symptoms of Anxiety Disorder",24.675
"Alabama",2020,"May",32.3182,-86.9023,11822.1935483871,454.193548387097,241.11253294312,473206.807289124,2.40953265930267,3421.65072962477,1002.08466235484,59.6705654166667,"Symptoms of Depressive Disorder",20.4
"Alabama",2020,"May",32.3182,-86.9023,11822.1935483871,454.193548387097,241.11253294312,473206.807289124,2.40953265930267,3421.65072962477,1002.08466235484,59.6705654166667,"Symptoms of Anxiety Disorder or Depressive Disorder",28.725
"Alabama",2020,"Nov",32.3182,-86.9023,217968.533333333,3264.23333333333,4445.44787384798,2700373.99202449,1.51738277164092,53160.364472878,918.920370344444,70.0160185111111,"Symptoms of Anxiety Disorder",37.7
"Alabama",2020,"Nov",32.3182,-86.9023,217968.533333333,3264.23333333333,4445.44787384798,2700373.99202449,1.51738277164092,53160.364472878,918.920370344444,70.0160185111111,"Symptoms of Depressive Disorder",32.65
"Alabama",2020,"Nov",32.3182,-86.9023,217968.533333333,3264.23333333333,4445.44787384798,2700373.99202449,1.51738277164092,53160.364472878,918.920370344444,70.0160185111111,"Symptoms of Anxiety Disorder or Depressive Disorder",44.3
"Alabama",2020,"Oct",32.3182,-86.9023,171376.903225806,2730.22580645161,3495.21593057995,2219626.69673822,1.71421679999223,39533.7682786511,917.099728293478,73.9503623152174,"Symptoms of Depressive Disorder",26.35
"Alabama",2020,"Oct",32.3182,-86.9023,171376.903225806,2730.22580645161,3495.21593057995,2219626.69673822,1.71421679999223,39533.7682786511,917.099728293478,73.9503623152174,"Symptoms of Anxiety Disorder or Depressive Disorder",34.8
"Alabama",2020,"Oct",32.3182,-86.9023,171376.903225806,2730.22580645161,3495.21593057995,2219626.69673822,1.71421679999223,39533.7682786511,917.099728293478,73.9503623152174,"Symptoms of Anxiety Disorder",29.65
"Alabama",2020,"Sep",32.3182,-86.9023,139550.833333333,2368.66666666667,2846.1262084407,2081930.75063667,1.77931186288812,28533.2283706031,953.562761291667,70.2317775,"Symptoms of Depressive Disorder",26.9
"Alabama",2020,"Sep",32.3182,-86.9023,139550.833333333,2368.66666666667,2846.1262084407,2081930.75063667,1.77931186288812,28533.2283706031,953.562761291667,70.2317775,"Symptoms of Anxiety Disorder or Depressive Disorder",37.65
"Alabama",2020,"Sep",32.3182,-86.9023,139550.833333333,2368.66666666667,2846.1262084407,2081930.75063667,1.77931186288812,28533.2283706031,953.562761291667,70.2317775,"Symptoms of Anxiety Disorder",32.25
"Alabama",2021,"Apr",32.3182,-86.9023,521160.5,10738.8333333333,10629.019708618,6270522.85306621,2.06054305954404,96516.8047970193,915.712620322222,60.5690000111111,"Symptoms of Depressive Disorder",24.3
"Alabama",2021,"Apr",32.3182,-86.9023,521160.5,10738.8333333333,10629.019708618,6270522.85306621,2.06054305954404,96516.8047970193,915.712620322222,60.5690000111111,"Symptoms of Anxiety Disorder or Depressive Disorder",35.5
"Alabama",2021,"Apr",32.3182,-86.9023,521160.5,10738.8333333333,10629.019708618,6270522.85306621,2.06054305954404,96516.8047970193,915.712620322222,60.5690000111111,"Symptoms of Anxiety Disorder",29.8
"Alabama",2021,"Aug",32.3182,-86.9023,635818.032258064,11820.1612903226,12967.4493672595,6957246.6213551,1.86224130320679,113745.855970563,997.015359290323,73.4605327741936,"Symptoms of Depressive Disorder",24.9333333333333
"Alabama",2021,"Aug",32.3182,-86.9023,635818.032258064,11820.1612903226,12967.4493672595,6957246.6213551,1.86224130320679,113745.855970563,997.015359290323,73.4605327741936,"Symptoms of Anxiety Disorder or Depressive Disorder",34.5666666666667
"Alabama",2021,"Aug",32.3182,-86.9023,635818.032258064,11820.1612903226,12967.4493672595,6957246.6213551,1.86224130320679,113745.855970563,997.015359290323,73.4605327741936,"Symptoms of Anxiety Disorder",30.2333333333333
"Alabama",2021,"Dec",32.3182,-86.9023,857604.612903226,16298.935483871,17490.7659593351,9976758.22480075,1.90066294158359,149168.014721191,916.676657322581,76.3476002826087,"Symptoms of Depressive Disorder",26.2
"Alabama",2021,"Dec",32.3182,-86.9023,857604.612903226,16298.935483871,17490.7659593351,9976758.22480075,1.90066294158359,149168.014721191,916.676657322581,76.3476002826087,"Symptoms of Anxiety Disorder or Depressive Disorder",32.1
"Alabama",2021,"Dec",32.3182,-86.9023,857604.612903226,16298.935483871,17490.7659593351,9976758.22480075,1.90066294158359,149168.014721191,916.676657322581,76.3476002826087,"Symptoms of Anxiety Disorder",27
"Alabama",2021,"Feb",32.3182,-86.9023,478660.535714286,9022.92857142857,9762.23690752614,4788954.15364384,1.88304485669558,79013.8255329749,915.618105214286,72.031200297619,"Symptoms of Depressive Disorder",30.95
"Alabama",2021,"Feb",32.3182,-86.9023,478660.535714286,9022.92857142857,9762.23690752614,4788954.15364384,1.88304485669558,79013.8255329749,915.618105214286,72.031200297619,"Symptoms of Anxiety Disorder or Depressive Disorder",41.75
"Alabama",2021,"Feb",32.3182,-86.9023,478660.535714286,9022.92857142857,9762.23690752614,4788954.15364384,1.88304485669558,79013.8255329749,915.618105214286,72.031200297619,"Symptoms of Anxiety Disorder",35.85
