Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2022-02-10 04:31:36,32.3182,-86.9023,1254032,17452,,,1.0,25575.865483354188,,,1.391671025938732,84000001.0,USA,,,2022-02-09,,
Alaska,US,2022-02-10 04:31:36,61.3707,-152.4044,230235,1114,,,2.0,31472.431634417568,3741734.0,,0.4838534540795274,84000002.0,USA,511483.7774846387,,2022-02-09,,
American Samoa,US,2022-02-10 04:31:36,-14.271,-170.132,18,0,,,60.0,32.350245322693695,2140.0,,0.0,16.0,ASM,3846.084721698028,,2022-02-09,,
Arizona,US,2022-02-10 04:31:36,33.7298,-111.4312,1931642,26856,,,4.0,26538.22095295092,17765793.0,,1.3903197383366068,84000004.0,USA,244078.6336383184,,2022-02-09,,
Arkansas,US,2022-02-10 04:31:36,34.9697,-92.3731,800373,9927,,,5.0,26521.70253601625,4870699.0,,1.240296711658189,84000005.0,USA,161398.78534192411,,2022-02-09,,
California,US,2022-02-10 07:31:43,36.1162,-119.6816,8762973,81823,,,6.0,22174.34842883935,140831189.0,,0.934580505931694,84000006.0,USA,356424.3626586133,,2022-02-09,,
Colorado,US,2022-02-10 04:31:36,39.0598,-105.3111,1393600,12227,,,8.0,22277.788042375967,16189225.0,,0.8993552983469728,84000008.0,USA,281124.6252649887,,2022-02-09,,
Connecticut,US,2022-02-10 04:31:36,41.5978,-72.7554,710669,10214,,,9.0,19933.009600629623,12926579.0,,1.4372373073821991,84000009.0,USA,362567.6979160443,,2022-02-09,,
Delaware,US,2022-02-10 04:31:36,39.3185,-75.5071,252068,2598,,,10.0,25885.943616728488,3071430.0,,1.0306742625005951,84000010.0,USA,3.154183149099782e-05,,2022-02-09,,
Diamond Princess,US,2022-02-10 04:31:36,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,2022-02-09,,
District of Columbia,US,2022-02-10 04:31:36,38.8974,-77.0268,132884,1305,,,11.0,18828.790405654134,2973346.0,,0.9820595406519972,84000011.0,USA,421303.6079399333,,2022-02-09,,
Florida,US,2022-02-10 04:31:36,27.7663,-81.6868,5713185,66468,,,12.0,26600.49799473753,52524219.0,,1.1634141026415212,84000012.0,USA,244551.92369661664,,2022-02-09,,
Georgia,US,2022-02-10 04:31:36,33.0406,-83.6431,2424950,33850,,,13.0,22839.34623307369,16199554.0,,1.3959050702076332,84000013.0,USA,152575.19644832838,,2022-02-09,,
Grand Princess,US,2022-02-10 04:31:36,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,2022-02-09,,
Guam,US,2022-02-10 04:31:36,13.4443,144.7937,38050,303,,,66.0,23168.86786133996,337181.0,,0.7963206307490145,316.0,GUM,205311.48579118185,,2022-02-09,,
Hawaii,US,2022-02-10 04:31:36,21.0943,-157.4983,228336,1233,,,15.0,16126.88152601365,3462670.0,,0.5399936935043095,84000015.0,USA,244560.9490123401,,2022-02-09,,
Idaho,US,2022-02-10 04:31:36,44.2405,-114.4788,397931,4537,,,16.0,22267.29301956001,1176518.0,,1.1401474124911102,84000016.0,USA,65835.21024696919,,2022-02-09,,
Illinois,US,2022-02-10 04:31:36,40.3495,-88.9861,2982097,35585,,,17.0,23533.184378156857,52247789.0,,1.1438984092662745,84000017.0,USA,412314.76517858007,,2022-02-09,,
Indiana,US,2022-02-10 04:31:36,39.8494,-86.2583,1655125,21911,,,18.0,24585.13307425085,18519639.0,,1.3238275054754172,84000018.0,USA,2.750896695428357e-05,,2022-02-09,,
Iowa,US,2022-02-10 04:31:36,42.0115,-93.2105,735422,8829,,,19.0,23309.213424741763,1921825.0,,1.2005352029175085,84000019.0,USA,60912.27769906849,,2022-02-09,,
Kansas,US,2022-02-10 04:31:36,38.5266,-96.7265,749003,7720,,,20.0,25732.207376204555,2221193.0,,1.0298001760798228,84000020.0,USA,76242.8286137368,,2022-02-09,,
Kentucky,US,2022-02-10 04:31:36,37.6681,-84.6701,1220703,13216,,,21.0,27323.015807110325,9257951.0,,1.0826548308638546,84000021.0,USA,207220.8731480572,,2022-02-09,,
Louisiana,US,2022-02-10 04:31:36,31.1695,-91.8678,1204688,16066,,,22.0,24615.093721081208,12223821.0,,1.4039963121720171,84000022.0,USA,262946.0673026165,,2022-02-09,,
Maine,US,2022-02-10 04:31:36,44.6939,-69.3819,183499,1819,,,23.0,13651.046114749755,3781891.0,,0.9912860560548014,84000023.0,USA,281346.32037208416,,2022-02-09,,
Maryland,US,2022-02-10 04:31:36,39.0639,-76.8021,989532,13827,,,24.0,16367.588095962736,18227887.0,,1.3973272213531245,84000024.0,USA,3.0150267629116992e-05,,2022-02-09,,
Massachusetts,US,2022-02-10 04:31:36,42.2302,-71.5301,1642896,18981,,,25.0,23835.98527269412,39711896.0,,1.3801847469346813,84000025.0,USA,5.761607358023639e-05,,2022-02-09,,
Michigan,US,2022-02-10 04:31:36,43.3266,-84.5361,2316871,33286,,,26.0,23199.200709492485,22293573.0,,1.4366790382373469,84000026.0,USA,2.2322912003245863e-05,,2022-02-09,,
Minnesota,US,2022-02-10 04:31:36,45.6945,-93.9002,1379102,11872,,,27.0,24453.758684963843,15481866.0,,0.8608500313972426,84000027.0,USA,274519.0820961368,,2022-02-09,,
Mississippi,US,2022-02-10 04:31:36,32.7416,-89.6787,772844,11455,,,28.0,25967.920288937148,3410389.0,,1.482187867150421,84000028.0,USA,114590.66733553998,,2022-02-09,,
Missouri,US,2022-02-10 04:31:36,38.4561,-92.2884,1371733,18187,,,29.0,22350.29070809466,9374984.0,,1.3258411075624776,84000029.0,USA,152751.02208938336,,2022-02-09,,
Montana,US,2022-02-10 04:31:36,46.9219,-110.4544,254231,3051,,,30.0,23787.072712948808,2628651.0,,1.2000896822181402,84000030.0,USA,245949.20554128176,,2022-02-09,,
Nebraska,US,2022-02-10 04:31:36,41.1254,-98.2681,449393,3802,,,31.0,23231.551978693224,5060984.0,,0.846030089476249,84000031.0,USA,261629.60450949328,,2022-02-09,,
