Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-10-13 04:32:32,32.3182,-86.9023,1525724,20473,,,1.0,31116.99844080939,,,1.34185475223566,84000001.0,USA,,
Alaska,US,2022-10-13 04:32:32,61.3707,-152.4044,299434,1393,,,2.0,40931.72668803696,,,0.4652110314793911,84000002.0,USA,,
American Samoa,US,2022-10-13 04:32:32,-14.271,-170.132,8250,34,,,60.0,14827.195772901276,,,0.4121212121212121,16.0,ASM,,
Arizona,US,2022-10-13 04:32:32,33.7298,-111.4312,2277635,31455,,,4.0,31291.70978896418,,,1.3810377870027464,84000004.0,USA,,
Arkansas,US,2022-10-13 04:32:32,34.9697,-92.3731,954822,12334,,,5.0,31639.6293463724,,,1.2917590922706013,84000005.0,USA,,
California,US,2022-10-13 04:32:32,36.1162,-119.6816,11315285,96180,,,6.0,28601.64309155676,,,0.8519402237560885,84000006.0,USA,,
Colorado,US,2022-10-13 04:32:32,39.0598,-105.3111,1661645,13354,,,8.0,28854.33539582297,,,0.8036614318942975,84000008.0,USA,,
Connecticut,US,2022-10-13 04:32:32,41.5978,-72.7554,903688,11402,,,9.0,25346.851459644065,,,1.261718646258443,84000009.0,USA,,
Delaware,US,2022-10-13 04:32:32,39.3185,-75.5071,310699,3121,,,10.0,31907.01237671551,,,1.004509187348527,84000010.0,USA,,
Diamond Princess,US,2022-10-13 04:32:32,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-10-13 04:32:32,38.8974,-77.0268,168760,1392,,,11.0,23912.18407677517,,,0.8248400094809196,84000011.0,USA,,
Florida,US,2022-10-13 04:32:32,27.7663,-81.6868,7172780,81807,,,12.0,33396.34897289226,,,1.140520133058591,84000012.0,USA,,
Georgia,US,2022-10-13 04:32:32,33.0406,-83.6431,2913382,40448,,,13.0,27439.633892329617,,,1.388352093889507,84000013.0,USA,,
Grand Princess,US,2022-10-13 04:32:32,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-10-13 04:32:32,13.4443,144.7937,58647,401,,,66.0,35710.50179931681,,,0.6837519395706515,316.0,GUM,,
Hawaii,US,2022-10-13 04:32:32,21.0943,-157.4983,358279,1699,,,15.0,25304.476675857703,,,0.4742114385716159,84000015.0,USA,,
Idaho,US,2022-10-13 04:32:32,44.2405,-114.4788,497728,5198,,,16.0,27851.700973383733,,,1.0443455059791693,84000016.0,USA,,
Illinois,US,2022-10-13 04:32:32,40.3495,-88.9861,3779983,39802,,,17.0,29829.832665723417,,,1.0529676985319776,84000017.0,USA,,
Indiana,US,2022-10-13 04:32:32,39.8494,-86.2583,1925645,24748,,,18.0,28603.421843525888,,,1.2851797709338948,84000018.0,USA,,
Iowa,US,2022-10-13 04:32:32,42.0115,-93.2105,859502,10125,,,19.0,27241.931240828253,,,1.178007730057638,84000019.0,USA,,
Kansas,US,2022-10-13 04:32:32,38.5266,-96.7265,883240,9590,,,20.0,30325.67035341882,,,1.0854776894152909,84000020.0,USA,,
Kentucky,US,2022-10-13 04:32:32,37.6681,-84.6701,1597569,17131,,,21.0,35758.41383198815,,,1.0723167512639518,84000021.0,USA,,
Louisiana,US,2022-10-13 04:32:32,31.1695,-91.8678,1458706,18127,,,22.0,31378.15958289397,,,1.2426767285525664,84000022.0,USA,,
Maine,US,2022-10-13 04:32:32,44.6939,-69.3819,292622,2621,,,23.0,21769.036431753324,,,0.8956947871315212,84000023.0,USA,,
Maryland,US,2022-10-13 04:32:32,39.0639,-76.8021,1257358,15455,,,24.0,20797.627396752723,,,1.2291646452323046,84000024.0,USA,,
Massachusetts,US,2022-10-13 04:32:32,42.2302,-71.5301,2060884,21771,,,25.0,29900.37146157209,,,1.056391334980523,84000025.0,USA,,
Michigan,US,2022-10-13 04:32:32,43.3266,-84.5361,2861595,38919,,,26.0,28653.609438885527,,,1.3600457087743023,84000026.0,USA,,
Minnesota,US,2022-10-13 04:32:32,45.6945,-93.9002,1670765,13695,,,27.0,29625.425914314976,,,0.8196843960700637,84000027.0,USA,,
Mississippi,US,2022-10-13 04:32:32,32.7416,-89.6787,930438,12945,,,28.0,31263.152483293008,,,1.3912802357599323,84000028.0,USA,,
Missouri,US,2022-10-13 04:32:32,38.4561,-92.2884,1664375,21771,,,29.0,27118.444403746977,,,1.308058580548254,84000029.0,USA,,
Montana,US,2022-10-13 04:32:32,46.9219,-110.4544,311830,3555,,,30.0,29176.31163815124,,,1.140044254882468,84000030.0,USA,,
Nebraska,US,2022-10-13 04:32:32,41.1254,-98.2681,538917,4551,,,31.0,27859.531184734555,,,0.8444714121098426,84000031.0,USA,,
Nevada,US,2022-10-13 04:32:32,38.3135,-117.0554,849745,11531,,,32.0,27587.72607621173,,,1.356995333894286,84000032.0,USA,,
New Hampshire,US,2022-10-13 04:32:32,43.4525,-71.5639,352870,2713,,,33.0,25952.20602024989,,,0.7688274884874248,84000033.0,USA,,
New Jersey,US,2022-10-13 04:32:32,40.2989,-74.521,2763340,34805,,,34.0,31111.021043233708,,,1.259526515014439,84000034.0,USA,,
New Mexico,US,2022-10-13 04:32:32,34.8405,-106.2485,621483,8599,,,35.0,29639.18373887427,,,1.383625939888943,84000035.0,USA,,
New York,US,2022-10-13 04:32:32,42.1657,-74.9481,6170338,72105,,,36.0,31718.295688897266,,,1.1685745578281126,84000036.0,USA,,
North Carolina,US,2022-10-13 04:32:32,35.6301,-79.8064,3220858,26885,,,37.0,30709.68920538776,,,0.8347154702256355,84000037.0,USA,,
North Dakota,US,2022-10-13 04:32:32,47.5289,-99.784,271043,2383,,,38.0,35467.9802955665,,,0.8816521636180666,84000038.0,USA,,
Northern Mariana Islands,US,2022-10-13 04:32:32,15.0979,145.6739,13171,40,,,69.0,23884.738140142174,,,0.3036975172727963,580.0,MNP,,
Ohio,US,2022-10-13 04:32:32,40.3888,-82.7649,3153743,40251,,,39.0,26980.20377958953,,,1.266748749026157,84000039.0,USA,,
Oklahoma,US,2022-10-13 04:32:32,35.5653,-96.9289,1201654,16965,,,40.0,30368.026452556765,,,1.4118040633992812,84000040.0,USA,,
Oregon,US,2022-10-13 04:32:32,44.572,-122.0709,902319,8622,,,41.0,21393.439183144896,,,0.9555378973511583,84000041.0,USA,,
Pennsylvania,US,2022-10-13 04:32:32,40.5908,-77.2098,3280190,47442,,,42.0,25622.502878263684,,,1.4463186583703993,84000042.0,USA,,
Puerto Rico,US,2022-10-13 04:32:32,18.2208,-66.5901,964869,5193,,,72.0,30211.692165874378,,,0.5382077774288531,630.0,PRI,,
Rhode Island,US,2022-10-13 04:32:32,41.6809,-71.5118,427242,3674,,,44.0,40330.16129534691,,,0.8599341825007841,84000044.0,USA,,
South Carolina,US,2022-10-13 04:32:32,33.8569,-80.945,1715434,18468,,,45.0,33317.71778350866,,,1.0765788715858493,84000045.0,USA,,
South Dakota,US,2022-10-13 04:32:32,44.2998,-99.4388,262837,3046,,,46.0,29710.54383666475,,,1.1588931543123686,84000046.0,USA,,
Tennessee,US,2022-10-13 04:32:32,35.7478,-86.6923,2349657,27998,,,47.0,34376.85143181298,,,1.191060867120595,84000047.0,USA,,
Texas,US,2022-10-13 04:32:32,31.0545,-97.5635,7991021,90771,,,48.0,27657.23517764472,,,1.1357249909251983,84000048.0,USA,,
Utah,US,2022-10-13 04:32:32,40.15,-111.8624,1040147,5028,,,49.0,32444.186729832392,,,0.4833932126901293,84000049.0,USA,,
Vermont,US,2022-10-13 04:32:32,44.0459,-72.7107,143683,732,,,50.0,23026.52771122568,,,0.5094548415609362,84000050.0,USA,,
Virgin Islands,US,2022-10-13 04:32:32,18.3358,-64.8963,23233,123,,,78.0,21658.83581310363,,,0.5294193603925451,850.0,VIR,,
Virginia,US,2022-10-13 04:32:32,37.7693,-78.17,2100475,22001,,,51.0,24608.63832650364,,,1.047429748033183,84000051.0,USA,,
Washington,US,2022-10-13 04:32:32,47.4009,-121.4905,1825852,14430,,,53.0,23977.382216664108,,,0.7903159730361496,84000053.0,USA,,
West Virginia,US,2022-10-13 04:32:32,38.4912,-80.9545,603583,7455,,,54.0,33679.32429650023,,,1.235124249688941,84000054.0,USA,,
Wisconsin,US,2022-10-13 04:32:32,44.2685,-89.6165,1878404,15324,,,55.0,32261.4906411992,,,0.8157989442100847,84000055.0,USA,,
Wyoming,US,2022-10-13 04:32:32,42.756,-107.3025,177635,1904,,,56.0,30692.395280246183,,,1.071860838235708,84000056.0,USA,,
