Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2023-01-19 04:31:42,32.3182,-86.9023,1602891,20846,,,1.0,32690.81219656203,,,1.30052511368521,84000001.0,USA,,
Alaska,US,2023-01-19 04:31:42,61.3707,-152.4044,302921,1455,,,2.0,41408.38909431409,,,0.4803232525972118,84000002.0,USA,,
American Samoa,US,2023-01-19 04:31:42,-14.271,-170.132,8309,34,,,60.0,14933.232688125663,,,0.4091948489589602,16.0,ASM,,
Arizona,US,2023-01-19 04:31:42,33.7298,-111.4312,2394646,32631,,,4.0,32899.28705841977,,,1.3626648782325237,84000004.0,USA,,
Arkansas,US,2023-01-19 04:31:42,34.9697,-92.3731,992745,12766,,,5.0,32896.27159351634,,,1.2859294179270608,84000005.0,USA,,
California,US,2023-01-19 04:31:42,36.1162,-119.6816,11951728,99331,,,6.0,30204.11177574089,,,0.8330766505596131,84000006.0,USA,,
Colorado,US,2023-01-19 04:31:42,39.0598,-105.3111,1743671,13985,,,8.0,30278.71046701915,,,0.8020435047666675,84000008.0,USA,,
Connecticut,US,2023-01-19 04:31:42,41.5978,-72.7554,960940,11895,,,9.0,26952.668887525742,,,1.2378504381126814,84000009.0,USA,,
Delaware,US,2023-01-19 04:31:42,39.3185,-75.5071,324137,3220,,,10.0,33287.018209751026,,,0.9934071087225465,84000010.0,USA,,
Diamond Princess,US,2023-01-19 04:31:42,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2023-01-19 04:31:42,38.8974,-77.0268,175014,1415,,,11.0,24798.334818752843,,,0.8085067480315861,84000011.0,USA,,
Florida,US,2023-01-19 04:31:42,27.7663,-81.6868,7393712,84176,,,12.0,34425.00483174741,,,1.1384809145933734,84000012.0,USA,,
Georgia,US,2023-01-19 04:31:42,33.0406,-83.6431,3020166,41772,,,13.0,28445.376999673084,,,1.3831027830920553,84000013.0,USA,,
Grand Princess,US,2023-01-19 04:31:42,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2023-01-19 04:31:42,13.4443,144.7937,60526,415,,,66.0,36854.63590474277,,,0.6856557512473979,316.0,GUM,,
