Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2021-06-17 04:30:41,32.3182,-86.9023,548323,11288,,,1.0,11182.99635848943,,,2.058640618759381,84000001.0,USA,,,2021-06-16,,
Alaska,US,2021-06-17 04:30:41,61.3707,-152.4044,70770,373,,,2.0,9674.04602587674,2324477.0,,0.5270594884838208,84000002.0,USA,317749.0106555305,,2021-06-16,,
American Samoa,US,2021-06-17 04:30:41,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,2021-06-16,,
Arizona,US,2021-06-17 04:30:41,33.7298,-111.4312,888005,17791,,,4.0,12200.020965233296,9950764.0,,2.003479710136767,84000004.0,USA,136710.4120135458,,2021-06-16,,
Arkansas,US,2021-06-17 04:30:41,34.9697,-92.3731,344657,5867,,,5.0,11420.78809624482,3089364.0,,1.7022721140148032,84000005.0,USA,102371.26069154922,,2021-06-16,,
California,US,2021-06-17 04:30:41,36.1162,-119.6816,3868992,62633,,,6.0,9796.692532333602,67901400.0,,1.6178704076141643,84000006.0,USA,171849.1009731343,,2021-06-16,,
Colorado,US,2021-06-17 04:30:41,39.0598,-105.3111,558804,6818,,,8.0,9588.614584867237,8839556.0,,1.2149957532194942,84000008.0,USA,153498.19821571957,,2021-06-16,,
Connecticut,US,2021-06-17 04:30:41,41.5978,-72.7554,348560,8265,,,9.0,9776.49204678333,8632496.0,,2.371184301124627,84000009.0,USA,242126.2579983042,,2021-06-16,,
Delaware,US,2021-06-17 04:30:41,39.3185,-75.5071,109418,1679,,,10.0,11236.60353021882,1887680.0,,1.5344824434736517,84000010.0,USA,1.938539522923419e-05,,2021-06-16,,
Diamond Princess,US,2021-06-17 04:30:41,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,2021-06-16,,
District of Columbia,US,2021-06-17 04:30:41,38.8974,-77.0268,49223,1139,,,11.0,6974.575946972649,1650618.0,,2.313958921642321,84000011.0,USA,233881.7341576113,,2021-06-16,,
Florida,US,2021-06-17 04:30:41,27.7663,-81.6868,2344321,37265,,,12.0,10915.121085615305,30668769.0,,1.5895860677782607,84000012.0,USA,142793.29800900345,,2021-06-16,,
Georgia,US,2021-06-17 04:30:41,33.0406,-83.6431,1129675,21228,,,13.0,10639.82286473846,8951914.0,,1.87912452696572,84000013.0,USA,84313.43462533236,,2021-06-16,,
Grand Princess,US,2021-06-17 04:30:41,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,2021-06-16,,
Guam,US,2021-06-17 04:30:41,13.4443,144.7937,8261,139,,,66.0,5030.171285217592,160836.0,,1.6826050114998183,316.0,GUM,97933.98242697696,,2021-06-16,,
Hawaii,US,2021-06-17 04:30:41,21.0943,-157.4983,37134,507,,,15.0,2622.694706866157,1686287.0,,1.3653255776377444,84000015.0,USA,119098.8309677711,,2021-06-16,,
Idaho,US,2021-06-17 04:30:41,44.2405,-114.4788,193919,2122,,,16.0,10851.256109878488,788856.0,,1.094271319468438,84000016.0,USA,44142.546577768575,,2021-06-16,,
Illinois,US,2021-06-17 04:30:41,40.3495,-88.9861,1388338,25531,,,17.0,10956.104888160904,25227247.0,,1.8389614056519377,84000017.0,USA,199081.4658761357,,2021-06-16,,
Indiana,US,2021-06-17 04:30:41,39.8494,-86.2583,750170,13763,,,18.0,11142.982722338653,10685055.0,,1.834650812482504,84000018.0,USA,1.5871520222381358e-05,,2021-06-16,,
Iowa,US,2021-06-17 04:30:41,42.0115,-93.2105,372836,6109,,,19.0,11817.043678904112,1483376.0,,1.6385220311343325,84000019.0,USA,47015.62881330684,,2021-06-16,,
Kansas,US,2021-06-17 04:30:41,38.5266,-96.7265,317009,5128,,,20.0,10896.113498236027,1431428.0,,1.615433564979618,84000020.0,USA,49134.01027146405,,2021-06-16,,
Kentucky,US,2021-06-17 04:30:41,37.6681,-84.6701,462922,7175,,,21.0,10361.590922164623,5413534.0,,1.549937138438009,84000021.0,USA,121171.22269243968,,2021-06-16,,
Louisiana,US,2021-06-17 04:30:41,31.1695,-91.8678,476792,10670,,,22.0,10256.251406278703,6998334.0,,2.237873118676488,84000022.0,USA,150540.84994947078,,2021-06-16,,
Maine,US,2021-06-17 04:30:41,44.6939,-69.3819,68686,853,,,23.0,5109.759472464165,2306571.0,,1.2418833532306437,84000023.0,USA,171592.79935010252,,2021-06-16,,
Maryland,US,2021-06-17 04:30:41,39.0639,-76.8021,461470,9695,,,24.0,7633.053684614469,10652730.0,,2.1008949660866363,84000024.0,USA,1.7620400021172142e-05,,2021-06-16,,
Massachusetts,US,2021-06-17 04:30:41,42.2302,-71.5301,709080,14468,,,25.0,10287.699548335344,23444629.0,,2.531872285214644,84000025.0,USA,3.401468087863001e-05,,2021-06-16,,
Michigan,US,2021-06-17 04:30:41,43.3266,-84.5361,997816,20822,,,26.0,9991.291554490066,14049503.0,,2.0867574783326788,84000026.0,USA,1.406799256262506e-05,,2021-06-16,,
Minnesota,US,2021-06-17 04:30:41,45.6945,-93.9002,604052,7616,,,27.0,10710.840707336933,9292144.0,,1.2608186050207597,84000027.0,USA,164765.07687026387,,2021-06-16,,
Mississippi,US,2021-06-17 04:30:41,32.7416,-89.6787,319511,7368,,,28.0,10735.719212982953,1965161.0,,2.3060238927611256,84000028.0,USA,66030.32979867607,,2021-06-16,,
Missouri,US,2021-06-17 04:30:41,38.4561,-92.2884,614710,9640,,,29.0,10015.759044342352,5626241.0,,1.5682191602544289,84000029.0,USA,91670.98986741678,,2021-06-16,,
