Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-11-23 04:32:00,32.3182,-86.9023,1542227,20617,,,1.0,31453.57558403364,,,1.3368330343068822,84000001.0,USA,,
Alaska,US,2022-11-23 04:32:00,61.3707,-152.4044,299471,1436,,,2.0,40936.78447668975,,,0.479512206524171,84000002.0,USA,,
American Samoa,US,2022-11-23 04:32:00,-14.271,-170.132,8262,34,,,60.0,14848.762603116407,,,0.411522633744856,16.0,ASM,,
Arizona,US,2022-11-23 04:32:00,33.7298,-111.4312,2311150,31647,,,4.0,31752.161816430013,,,1.3693183047400646,84000004.0,USA,,
Arkansas,US,2022-11-23 04:32:00,34.9697,-92.3731,966009,12540,,,5.0,32010.32936532657,,,1.298124551634612,84000005.0,USA,,
California,US,2022-11-23 04:32:00,36.1162,-119.6816,11490218,97222,,,6.0,28998.60632999566,,,0.8493371527337159,84000006.0,USA,,
Colorado,US,2022-11-23 04:32:00,39.0598,-105.3111,1699392,13558,,,8.0,29509.809096996287,,,0.7978147478627651,84000008.0,USA,,
Connecticut,US,2022-11-23 04:32:00,41.5978,-72.7554,922159,11572,,,9.0,25864.930368859503,,,1.254881208121376,84000009.0,USA,,
Delaware,US,2022-11-23 04:32:00,39.3185,-75.5071,315935,3163,,,10.0,32444.719665134468,,,1.0011553009321537,84000010.0,USA,,
Diamond Princess,US,2022-11-23 04:32:00,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-11-23 04:32:00,38.8974,-77.0268,170750,1403,,,11.0,24194.154012262148,,,0.8216691068814056,84000011.0,USA,,
Florida,US,2022-11-23 04:32:00,27.7663,-81.6868,7239478,82875,,,12.0,33706.89379425775,,,1.1447648573557376,84000012.0,USA,,
