Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2021-09-18 04:31:00,32.3182,-86.9023,764839,13048,,,1.0,15598.81995070551,,,1.7059799513361635,84000001.0,USA,,,2021-09-17,,
Alaska,US,2021-09-18 04:31:00,61.3707,-152.4044,100360,469,,,2.0,13718.90997819683,2906124.0,,0.4673176564368274,84000002.0,USA,397258.4051562105,,2021-09-17,,
American Samoa,US,2021-09-18 04:31:00,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,2021-09-17,,
Arizona,US,2021-09-18 04:31:00,33.7298,-111.4312,1061604,19379,,,4.0,14585.042940946872,12306594.0,,1.8254452696108907,84000004.0,USA,169076.41827536366,,2021-09-17,,
Arkansas,US,2021-09-18 04:31:00,34.9697,-92.3731,482743,7412,,,5.0,15996.499441315606,3804748.0,,1.535392538058553,84000005.0,USA,126076.71008455154,,2021-09-17,,
California,US,2021-09-18 04:31:00,36.1162,-119.6816,4643959,67633,,,6.0,11757.73633389344,87787458.0,,1.4536533768656597,84000006.0,USA,222177.977685538,,2021-09-17,,
Colorado,US,2021-09-18 04:31:00,39.0598,-105.3111,660207,7718,,,8.0,11263.617571633777,10691894.0,,1.136836652575689,84000008.0,USA,185663.9026341893,,2021-09-17,,
Connecticut,US,2021-09-18 04:31:00,41.5978,-72.7554,384342,8463,,,9.0,10780.11391509295,9763509.0,,2.2019451426073653,84000009.0,USA,273849.1739935663,,2021-09-17,,
Delaware,US,2021-09-18 04:31:00,39.3185,-75.5071,127222,1913,,,10.0,13064.972621703,2166941.0,,1.5036707487698668,84000010.0,USA,2.2253246166422253e-05,,2021-09-17,,
Diamond Princess,US,2021-09-18 04:31:00,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,2021-09-17,,
District of Columbia,US,2021-09-18 04:31:00,38.8974,-77.0268,58851,1167,,,11.0,8338.800338363922,1953637.0,,1.982973951164806,84000011.0,USA,276817.53711305297,,2021-09-17,,
Florida,US,2021-09-18 04:31:00,27.7663,-81.6868,3528698,51240,,,12.0,16429.561457056672,38983860.0,,1.452093661741526,84000012.0,USA,181508.2287300566,,2021-09-17,,
Georgia,US,2021-09-18 04:31:00,33.0406,-83.6431,1525114,24577,,,13.0,14364.257692285595,11104935.0,,1.611486092187207,84000013.0,USA,104591.62265645816,,2021-09-17,,
Grand Princess,US,2021-09-18 04:31:00,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,2021-09-17,,
Guam,US,2021-09-18 04:31:00,13.4443,144.7937,13349,179,,,66.0,8128.284285966547,213338.0,,1.3409244138137688,316.0,GUM,129902.75773462663,,2021-09-17,,
Hawaii,US,2021-09-18 04:31:00,21.0943,-157.4983,74437,694,,,15.0,5257.325520951046,2261755.0,,0.9323320391740668,84000015.0,USA,159742.90048817973,,2021-09-17,,
Idaho,US,2021-09-18 04:31:00,44.2405,-114.4788,241263,2613,,,16.0,13500.516209539104,923510.0,,1.083050447022544,84000016.0,USA,51677.47116081396,,2021-09-17,,
Illinois,US,2021-09-18 04:31:00,40.3495,-88.9861,1590350,27167,,,17.0,12550.224628330843,30308310.0,,1.696427560864267,84000017.0,USA,239178.8046879765,,2021-09-17,,
Indiana,US,2021-09-18 04:31:00,39.8494,-86.2583,927327,15083,,,18.0,13774.462773715471,13064803.0,,1.6265028409611713,84000018.0,USA,1.940638443282965e-05,,2021-09-17,,
Iowa,US,2021-09-18 04:31:00,42.0115,-93.2105,429078,6401,,,19.0,13599.63487339425,1620048.0,,1.491803355100937,84000019.0,USA,51347.45029428824,,2021-09-17,,
Kansas,US,2021-09-18 04:31:00,38.5266,-96.7265,397422,5868,,,20.0,13655.994513464737,1691100.0,,1.4749573951468171,84000020.0,USA,58047.2959660373,,2021-09-17,,
Kentucky,US,2021-09-18 04:31:00,37.6681,-84.6701,649691,8251,,,21.0,14542.044594579773,6602049.0,,1.2699883483071184,84000021.0,USA,147773.77395346525,,2021-09-17,,
Louisiana,US,2021-09-18 04:31:00,31.1695,-91.8678,725637,13418,,,22.0,15609.145081498556,8856597.0,,1.849133933357864,84000022.0,USA,190513.86230493328,,2021-09-17,,
Maine,US,2021-09-18 04:31:00,44.6939,-69.3819,83322,981,,,23.0,6198.575819885554,2594325.0,,1.1773601209764528,84000023.0,USA,192999.69052500647,,2021-09-17,,
Maryland,US,2021-09-18 04:31:00,39.0639,-76.8021,516784,10250,,,24.0,8547.987984808988,12540562.0,,1.983420539335583,84000024.0,USA,2.074301319289145e-05,,2021-09-17,,
Massachusetts,US,2021-09-18 04:31:00,42.2302,-71.5301,790953,14976,,,25.0,11475.555396929098,27559376.0,,2.3319969707428885,84000025.0,USA,3.998456874084784e-05,,2021-09-17,,
Michigan,US,2021-09-18 04:31:00,43.3266,-84.5361,1109643,21997,,,26.0,11111.03323097547,15798486.0,,1.9823492781011551,84000026.0,USA,1.581927727612401e-05,,2021-09-17,,
Minnesota,US,2021-09-18 04:31:00,45.6945,-93.9002,681613,8076,,,27.0,12086.125477690744,10771873.0,,1.1848365568144974,84000027.0,USA,191003.11864320227,,2021-09-17,,
Mississippi,US,2021-09-18 04:31:00,32.7416,-89.6787,473413,9214,,,28.0,15906.898478537198,2386371.0,,1.946292138154212,84000028.0,USA,80183.18303283874,,2021-09-17,,
Missouri,US,2021-09-18 04:31:00,38.4561,-92.2884,803132,11533,,,29.0,13085.807279531426,6828380.0,,1.4360030480668184,84000029.0,USA,111258.00579656496,,2021-09-17,,
Montana,US,2021-09-18 04:31:00,46.9219,-110.4544,139712,1877,,,30.0,13072.125361861865,1740325.0,,1.3434780119102152,84000030.0,USA,162833.16086221836,,2021-09-17,,
Nebraska,US,2021-09-18 04:31:00,41.1254,-98.2681,257787,2371,,,31.0,13326.402703049202,3554504.0,,0.9197515778530336,84000031.0,USA,183751.51467529085,,2021-09-17,,
Nevada,US,2021-09-18 04:31:00,38.3135,-117.0554,410104,6845,,,32.0,13314.390569828282,4224727.0,,1.669088816495328,84000032.0,USA,137159.51399864163,,2021-09-17,,
New Hampshire,US,2021-09-18 04:31:00,43.4525,-71.5639,114322,1457,,,33.0,8407.81607268015,2378099.0,,1.2744703556620771,84000033.0,USA,174897.3862828204,,2021-09-17,,
New Jersey,US,2021-09-18 04:31:00,40.2989,-74.521,1128696,27165,,,34.0,12707.40661931348,15363254.0,,2.4067596589338494,84000034.0,USA,172966.95972502278,,2021-09-17,,
New Mexico,US,2021-09-18 04:31:00,34.8405,-106.2485,244720,4675,,,35.0,11670.95647761453,4370205.0,,1.9103465184700883,84000035.0,USA,208419.71376778933,,2021-09-17,,
New York,US,2021-09-18 04:31:00,42.1657,-74.9481,2362682,54846,,,36.0,12145.241686085134,67933450.0,,2.32134497998461,84000036.0,USA,349208.3017602793,,2021-09-17,,
North Carolina,US,2021-09-18 04:31:00,35.6301,-79.8064,1330492,15615,,,37.0,12685.748893696886,16935906.0,,1.173625996999606,84000037.0,USA,1.6147759686135237e-05,,2021-09-17,,
North Dakota,US,2021-09-18 04:31:00,47.5289,-99.784,125345,1617,,,38.0,16417.299379840486,1719016.0,,1.2924626328830628,84000038.0,USA,225574.2971044352,,2021-09-17,,
Northern Mariana Islands,US,2021-09-18 04:31:00,15.0979,145.6739,258,2,,,69.0,467.8659509647469,17542.0,,0.7751937984496124,580.0,MNP,31811.25779776585,,2021-09-17,,
Ohio,US,2021-09-18 04:31:00,40.3888,-82.7649,1336061,22522,,,39.0,11429.973222917077,20097870.0,,1.6853272417950975,84000039.0,USA,1.719368471481979e-05,,2021-09-17,,
Oklahoma,US,2021-09-18 04:31:00,35.5653,-96.9289,592074,8440,,,40.0,14962.808673604128,4480287.0,,1.4254974884896146,84000040.0,USA,113225.16642148756,,2021-09-17,,
Oregon,US,2021-09-18 04:31:00,44.572,-122.0709,309841,3569,,,41.0,7346.143204282296,6651426.0,,1.1518811261259807,84000041.0,USA,157701.2981131825,,2021-09-17,,
Pennsylvania,US,2021-09-18 04:31:00,40.5908,-77.2098,1383281,28812,,,42.0,10805.203785130576,16613295.0,,2.082873978605938,84000042.0,USA,129771.20195932052,,2021-09-17,,
Puerto Rico,US,2021-09-18 04:31:00,18.2208,-66.5901,178639,3064,,,72.0,5593.491424037494,2805897.0,,1.715190971736295,630.0,PRI,87857.4152689644,,2021-09-17,,
Rhode Island,US,2021-09-18 04:31:00,41.6809,-71.5118,168449,2812,,,44.0,15901.00069759034,5081424.0,,1.6693479925674832,84000044.0,USA,479668.7814635426,,2021-09-17,,
South Carolina,US,2021-09-18 04:31:00,33.8569,-80.945,819204,11614,,,45.0,15910.8468638965,8417504.0,,1.4177176869253567,84000045.0,USA,163487.50386989838,,2021-09-17,,
South Dakota,US,2021-09-18 04:31:00,44.2998,-99.4388,139956,2101,,,46.0,15820.333032275714,923939.0,,1.501186087055932,84000046.0,USA,1.0444012890842689e-05,,2021-09-17,,
Tennessee,US,2021-09-18 04:31:00,35.7478,-86.6923,1182887,14339,,,47.0,17336.66472694941,9600390.0,,1.2140705147425863,84000047.0,USA,140579.08028115844,,2021-09-17,,
Texas,US,2021-09-18 04:31:00,31.0545,-97.5635,3952249,61519,,,48.0,13621.30021157143,31629576.0,,1.558581897581942,84000048.0,USA,109082.99699533184,,2021-09-17,,
Utah,US,2021-09-18 04:31:00,40.15,-111.8624,490985,2787,,,49.0,15314.767068065146,4093985.0,,0.5676344491175902,84000049.0,USA,127699.2711694913,,2021-09-17,,
Vermont,US,2021-09-18 04:31:00,44.0459,-72.7107,31156,296,,,50.0,4993.036736224517,1991750.0,,0.9500577737835408,84000050.0,USA,319196.33198662155,,2021-09-17,,
Virgin Islands,US,2021-09-18 04:31:00,18.3358,-64.8963,6439,67,,,78.0,6002.722153857628,176930.0,,1.0405342444478956,850.0,VIR,164942.01439385465,,2021-09-17,,
Virginia,US,2021-09-18 04:31:00,37.7693,-78.17,827197,12242,,,51.0,9691.232601087291,8948268.0,,1.479937669019593,84000051.0,USA,104835.66377158788,,2021-09-17,,
Washington,US,2021-09-18 04:31:00,47.4009,-121.4905,620752,7201,,,53.0,8151.81513384364,9842443.0,,1.1600445910766295,84000053.0,USA,129252.54497994916,,2021-09-17,,
West Virginia,US,2021-09-18 04:31:00,38.4912,-80.9545,219439,3370,,,54.0,12244.475481084975,3694790.0,,1.5357343042941318,84000054.0,USA,206165.56565951344,,2021-09-17,,
Wisconsin,US,2021-09-18 04:31:00,44.2685,-89.6165,771872,8703,,,55.0,13256.86130577006,10344635.0,,1.1275185522988267,84000055.0,USA,1.7766856610139334e-05,,2021-09-17,,
Wyoming,US,2021-09-18 04:31:00,42.756,-107.3025,83958,918,,,56.0,14506.556269535333,945482.0,,1.093403844779533,84000056.0,USA,163363.6798736607,,2021-09-17,,
