Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2022-08-08 04:32:51,32.3182,-86.9023,1436458,19974,,,1.0,29296.426710393345,,,1.3905035859036603,84000001.0,USA,,,2022-08-07,,
Alaska,US,2022-08-08 04:32:51,61.3707,-152.4044,286803,1309,,,2.0,39205.106999569405,,,0.4564108464695278,84000002.0,USA,,,2022-08-07,,
American Samoa,US,2022-08-08 04:32:51,-14.271,-170.132,7952,33,,,60.0,14291.619489225572,,,0.414989939637827,16.0,ASM,,,2022-08-07,,
Arizona,US,2022-08-08 04:32:51,33.7298,-111.4312,2211463,30842,,,4.0,30382.593525754608,20363818.0,,1.394642370231833,84000004.0,USA,279772.080711477,,2022-08-07,,
Arkansas,US,2022-08-08 04:32:51,34.9697,-92.3731,910808,11763,,,5.0,30181.151592349936,5387902.0,,1.2914906324933466,84000005.0,USA,178537.1747137985,,2022-08-07,,
California,US,2022-08-08 04:32:51,36.1162,-119.6816,10821681,93729,,,6.0,27359.35915324228,180110738.0,,0.8678397279037169,84000006.0,USA,455835.49677779456,,2022-08-07,,
Colorado,US,2022-08-08 04:32:51,39.0598,-105.3111,1611123,13103,,,8.0,27886.27573828701,19494256.0,,0.8118204343117896,84000008.0,USA,338516.22995046136,,2022-08-07,,
Connecticut,US,2022-08-08 04:32:51,41.5978,-72.7554,859975,11138,,,9.0,24120.779056496714,14648536.0,,1.2951539288932818,84000009.0,USA,410865.5488323941,,2022-08-07,,
Delaware,US,2022-08-08 04:32:51,39.3185,-75.5071,296190,3026,,,10.0,30417.02096195793,3477598.0,,1.0216415138931092,84000010.0,USA,357129.44820305536,,2022-08-07,,
Diamond Princess,US,2022-08-08 04:32:51,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,2022-08-07,,
District of Columbia,US,2022-08-08 04:32:51,38.8974,-77.0268,163429,1369,,,11.0,23156.81637522689,,,0.8376726284808693,84000011.0,USA,,,2022-08-07,,
Florida,US,2022-08-08 04:32:51,27.7663,-81.6868,6855234,78047,,,12.0,31917.85987508833,61606692.0,,1.1385023472575846,84000012.0,USA,286839.7727376958,,2022-08-07,,
Georgia,US,2022-08-08 04:32:51,33.0406,-83.6431,2778580,39173,,,13.0,26170.003775869154,19413641.0,,1.409820843740328,84000013.0,USA,182847.0147605497,,2022-08-07,,
Grand Princess,US,2022-08-08 04:32:51,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,2022-08-07,,
Guam,US,2022-08-08 04:32:51,13.4443,144.7937,55925,382,,,66.0,34053.06005638468,477342.0,,0.6830576665176575,316.0,GUM,290656.33962333086,,2022-08-07,,
Hawaii,US,2022-08-08 04:32:51,21.0943,-157.4983,329633,1592,,,15.0,23281.271188356008,4196622.0,,0.4829613539906502,84000015.0,USA,296398.4032454911,,2022-08-07,,
Idaho,US,2022-08-08 04:32:51,44.2405,-114.4788,481562,5053,,,16.0,26947.089221712697,1261282.0,,1.049293756567171,84000016.0,USA,70578.40649332845,,2022-08-07,,
