Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-10-27 04:32:21,32.3182,-86.9023,1531305,20533,,,1.0,31230.822414410224,,,1.340882449936492,84000001.0,USA,,
Alaska,US,2022-10-27 04:32:21,61.3707,-152.4044,300177,1413,,,2.0,41033.292552064464,,,0.4707222738584235,84000002.0,USA,,
American Samoa,US,2022-10-27 04:32:21,-14.271,-170.132,8253,34,,,60.0,14832.58748045506,,,0.4119714043378165,16.0,ASM,,
Arizona,US,2022-10-27 04:32:21,33.7298,-111.4312,2287886,31548,,,4.0,31432.54504880462,,,1.3789148585200486,84000004.0,USA,,
Arkansas,US,2022-10-27 04:32:21,34.9697,-92.3731,958675,12452,,,5.0,31767.30496745316,,,1.298876052885493,84000005.0,USA,,
California,US,2022-10-27 04:32:21,36.1162,-119.6816,11362973,96649,,,6.0,28721.317451564293,,,0.8525231373394261,84000006.0,USA,,
Colorado,US,2022-10-27 04:32:21,39.0598,-105.3111,1671397,13402,,,8.0,29023.678112696954,,,0.8018442057751689,84000008.0,USA,,
Connecticut,US,2022-10-27 04:32:21,41.5978,-72.7554,910367,11448,,,9.0,25534.18560693712,,,1.2575148264381288,84000009.0,USA,,
Delaware,US,2022-10-27 04:32:21,39.3185,-75.5071,312655,3136,,,10.0,32107.882402717703,,,1.0030225008395837,84000010.0,USA,,
Diamond Princess,US,2022-10-27 04:32:21,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-10-27 04:32:21,38.8974,-77.0268,169436,1392,,,11.0,24007.9688387798,,,0.8215491394980996,84000011.0,USA,,
Florida,US,2022-10-27 04:32:21,27.7663,-81.6868,7192835,82176,,,12.0,33489.72473217267,,,1.1424702499084158,84000012.0,USA,,
Georgia,US,2022-10-27 04:32:21,33.0406,-83.6431,2920663,40626,,,13.0,27508.209854688845,,,1.3909855399270643,84000013.0,USA,,
Grand Princess,US,2022-10-27 04:32:21,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-10-27 04:32:21,13.4443,144.7937,58751,401,,,66.0,35773.828008451615,,,0.6825415737604467,316.0,GUM,,
Hawaii,US,2022-10-27 04:32:21,21.0943,-157.4983,361817,1704,,,15.0,25554.35802106405,,,0.4709563121688588,84000015.0,USA,,
Idaho,US,2022-10-27 04:32:21,44.2405,-114.4788,499849,5216,,,16.0,27970.387199122582,,,1.043515141572755,84000016.0,USA,,
Illinois,US,2022-10-27 04:32:21,40.3495,-88.9861,3804665,39947,,,17.0,30024.611300933,,,1.0499478929156707,84000017.0,USA,,
Indiana,US,2022-10-27 04:32:21,39.8494,-86.2583,1937565,24863,,,18.0,28780.48084888504,,,1.2851181766805242,84000018.0,USA,,
Iowa,US,2022-10-27 04:32:21,42.0115,-93.2105,862925,10177,,,19.0,27350.423286963523,,,1.1793608946316307,84000019.0,USA,,
Kansas,US,2022-10-27 04:32:21,38.5266,-96.7265,887256,9607,,,20.0,30487.959759916022,,,1.0816135823735378,84000020.0,USA,,
