"State","Year","Month","Lat","Long_","Confirmed","Deaths","Incident_Rate","Total_Test_Results","Case_Fatality_Ratio","Testing_Rate","Atmospheric.Pressure","Humidity","Indicator","Value","Temp","Precip"
"Alabama",-1.28324412992337,"Aug",-1.63779438588255,0.156673848258124,-0.771982156226493,-0.854839041159719,-1.10250855983966,-0.818602158779797,0.609580906740835,-0.887481697046641,-1.85271086219505,0.607215585131099,"Symptoms of Anxiety Disorder or Depressive Disorder",1.43902707329098,1.65319475185367,1.34576631530031
"Alabama",-1.28324412992337,"Aug",-1.63779438588255,0.156673848258124,-0.771982156226493,-0.854839041159719,-1.10250855983966,-0.818602158779797,0.609580906740835,-0.887481697046641,-1.85271086219505,0.607215585131099,"Symptoms of Anxiety Disorder",0.299607726733943,1.65319475185367,1.34576631530031
"Alabama",-1.28324412992337,"Aug",-1.63779438588255,0.156673848258124,-0.771982156226493,-0.854839041159719,-1.10250855983966,-0.818602158779797,0.609580906740835,-0.887481697046641,-1.85271086219505,0.607215585131099,"Symptoms of Depressive Disorder",-0.20104622857142,1.65319475185367,1.34576631530031
"Alabama",-1.28324412992337,"Dec",-1.63779438588255,0.156673848258124,-0.544889357294943,-0.482942603283672,-0.409491918190278,-0.272522312320666,-0.297074266996549,-0.407161014808046,-1.13722876379928,0.623626783852162,"Symptoms of Anxiety Disorder or Depressive Disorder",1.89997399076178,-0.700055373866155,0.547085915254985
"Alabama",-1.28324412992337,"Dec",-1.63779438588255,0.156673848258124,-0.544889357294943,-0.482942603283672,-0.409491918190278,-0.272522312320666,-0.297074266996549,-0.407161014808046,-1.13722876379928,0.623626783852162,"Symptoms of Depressive Disorder",0.679414175586287,-0.700055373866155,0.547085915254985
"Alabama",-1.28324412992337,"Dec",-1.63779438588255,0.156673848258124,-0.544889357294943,-0.482942603283672,-0.409491918190278,-0.272522312320666,-0.297074266996549,-0.407161014808046,-1.13722876379928,0.623626783852162,"Symptoms of Anxiety Disorder",1.19733206038494,-0.700055373866155,0.547085915254985
"Alabama",-1.28324412992337,"Jul",-1.63779438588255,0.156673848258124,-0.825404552385062,-1.00049835780622,-1.35182219441332,-1.08580819468903,0.707892853058502,-0.951743000482635,-1.07240977212646,0.736359086032806,"Symptoms of Anxiety Disorder",1.30091563734467,1.65319475185367,1.16253911127937
"Alabama",-1.28324412992337,"Jul",-1.63779438588255,0.156673848258124,-0.825404552385062,-1.00049835780622,-1.35182219441332,-1.08580819468903,0.707892853058502,-0.951743000482635,-1.07240977212646,0.736359086032806,"Symptoms of Anxiety Disorder or Depressive Disorder",1.89997399076178,1.65319475185367,1.16253911127937
"Alabama",-1.28324412992337,"Jul",-1.63779438588255,0.156673848258124,-0.825404552385062,-1.00049835780622,-1.35182219441332,-1.08580819468903,0.707892853058502,-0.951743000482635,-1.07240977212646,0.736359086032806,"Symptoms of Depressive Disorder",0.293853083569519,1.65319475185367,1.16253911127937
"Alabama",-1.28324412992337,"Jun",-1.63779438588255,0.156673848258124,-0.865366369420123,-1.12147013523831,-1.61335716190984,-1.55012692400492,1.18400064160473,-1.0087534028939,0.00541113839723806,0.16063698757824,"Symptoms of Anxiety Disorder",0.596547314018503,1.45038105262995,1.10754849807298
