"State","Year","Month","Lat","Long_","Confirmed","Deaths","Incident_Rate","Total_Test_Results","Case_Fatality_Ratio","Testing_Rate","Atmospheric.Pressure","Humidity","Indicator","Value","Temp","Precip","PC1","PC2","PC3"
"Alabama",-1.28324412992337,"Aug",-1.63779438588255,0.156673848258124,-0.771982156226493,-0.854839041159719,-1.10250855983966,-0.818602158779797,0.609580906740835,-0.887481697046641,-1.85271086219505,0.607215585131099,"Symptoms of Depressive Disorder",-0.20104622857142,1.65319475185367,1.34576631530031,-0.240771021821918,2.23869630394155,1.34319782479801
"Alabama",-1.28324412992337,"Dec",-1.63779438588255,0.156673848258124,-0.544889357294943,-0.482942603283672,-0.409491918190278,-0.272522312320666,-0.297074266996549,-0.407161014808046,-1.13722876379928,0.623626783852162,"Symptoms of Anxiety Disorder or Depressive Disorder",1.89997399076178,-0.700055373866155,0.547085915254985,-0.56787176123427,1.1051551476741,-1.57661825713311
"Alabama",-1.28324412992337,"Dec",-1.63779438588255,0.156673848258124,-0.544889357294943,-0.482942603283672,-0.409491918190278,-0.272522312320666,-0.297074266996549,-0.407161014808046,-1.13722876379928,0.623626783852162,"Symptoms of Depressive Disorder",0.679414175586287,-0.700055373866155,0.547085915254985,-0.378375639155809,0.828143360113844,-0.658561624286028
"Alabama",-1.28324412992337,"Dec",-1.63779438588255,0.156673848258124,-0.544889357294943,-0.482942603283672,-0.409491918190278,-0.272522312320666,-0.297074266996549,-0.407161014808046,-1.13722876379928,0.623626783852162,"Symptoms of Anxiety Disorder",1.19733206038494,-0.700055373866155,0.547085915254985,-0.458784177520078,0.945687258654263,-1.04811889423528
"Alabama",-1.28324412992337,"Jul",-1.63779438588255,0.156673848258124,-0.825404552385062,-1.00049835780622,-1.35182219441332,-1.08580819468903,0.707892853058502,-0.951743000482635,-1.07240977212646,0.736359086032806,"Symptoms of Anxiety Disorder",1.30091563734467,1.65319475185367,1.16253911127937,0.000548880486729358,2.57551628403319,-0.0477947685906465
"Alabama",-1.28324412992337,"Jul",-1.63779438588255,0.156673848258124,-0.825404552385062,-1.00049835780622,-1.35182219441332,-1.08580819468903,0.707892853058502,-0.951743000482635,-1.07240977212646,0.736359086032806,"Symptoms of Anxiety Disorder or Depressive Disorder",1.89997399076178,1.65319475185367,1.16253911127937,-0.0924569955546084,2.71147539334494,-0.498382677498619
"Alabama",-1.28324412992337,"Jul",-1.63779438588255,0.156673848258124,-0.825404552385062,-1.00049835780622,-1.35182219441332,-1.08580819468903,0.707892853058502,-0.951743000482635,-1.07240977212646,0.736359086032806,"Symptoms of Depressive Disorder",0.293853083569519,1.65319475185367,1.16253911127937,0.156898816195029,2.34695870353793,0.709677700755121
"Alabama",-1.28324412992337,"Jun",-1.63779438588255,0.156673848258124,-0.865366369420123,-1.12147013523831,-1.61335716190984,-1.55012692400492,1.18400064160473,-1.0087534028939,0.00541113839723806,0.16063698757824,"Symptoms of Anxiety Disorder",0.596547314018503,1.45038105262995,1.10754849807298,0.368516917200877,2.33678222162737,0.252828886643054
"Alabama",-1.28324412992337,"Jun",-1.63779438588255,0.156673848258124,-0.865366369420123,-1.12147013523831,-1.61335716190984,-1.55012692400492,1.18400064160473,-1.0087534028939,0.00541113839723806,0.16063698757824,"Symptoms of Anxiety Disorder or Depressive Disorder",1.45283821688561,1.45038105262995,1.10754849807298,0.235574800438619,2.5311214672142,-0.391239133006381
"Alabama",-1.28324412992337,"May",-1.63779438588255,0.156673848258124,-0.882257636723875,-1.23546136522608,-1.68610187949174,-1.83234939871987,1.40739864817697,-1.03489359350281,0.717193896316295,-0.409509144085927,"Symptoms of Depressive Disorder",-1.46131308158147,0.791489319976522,0.454181862129196,0.575773491016593,1.4209942878965,1.20809752828089
