"State","Year","Month","Lat","Long_","Incident_Rate","Case_Fatality_Ratio","Atmospheric.Pressure","Humidity","Indicator","Value","Temp","Precip","PC1","PC2","PC3"
"Alabama",2020,"Aug",-1.63779438588245,0.15667384825807,-1.10250855983964,0.609580906740818,-1.85271086219501,0.607215585131104,"Symptoms of Anxiety Disorder or Depressive Disorder",1.439027073291,1.65319475185367,1.3457663153003,-0.484831290426708,2.56110234872353,-0.306944585526501
"Alabama",2020,"Aug",-1.63779438588245,0.15667384825807,-1.10250855983964,0.609580906740818,-1.85271086219501,0.607215585131104,"Symptoms of Anxiety Disorder",0.299607726733965,1.65319475185367,1.3457663153003,-0.305902895109673,2.43824133435428,0.624844595720152
"Alabama",2020,"Aug",-1.63779438588245,0.15667384825807,-1.10250855983964,0.609580906740818,-1.85271086219501,0.607215585131104,"Symptoms of Depressive Disorder",-0.201046228571398,1.65319475185367,1.3457663153003,-0.227282842621885,2.38425694925264,1.03426711475277
"Alabama",2020,"Dec",-1.63779438588245,0.15667384825807,-0.409491918190262,-0.297074266996565,-1.13722876379924,0.623626783852166,"Symptoms of Anxiety Disorder or Depressive Disorder",1.8999739907618,-0.700055373866156,0.547085915254976,-0.578271648727493,0.941583874292922,-1.79771610943526
"Alabama",2020,"Dec",-1.63779438588245,0.15667384825807,-0.409491918190262,-0.297074266996565,-1.13722876379924,0.623626783852166,"Symptoms of Depressive Disorder",0.679414175586309,-0.700055373866156,0.547085915254976,-0.386601382834851,0.809973666476166,-0.799572244069529
"Alabama",2020,"Dec",-1.63779438588245,0.15667384825807,-0.409491918190262,-0.297074266996565,-1.13722876379924,0.623626783852166,"Symptoms of Anxiety Disorder",1.19733206038496,-0.700055373866156,0.547085915254976,-0.467932471615321,0.865819582098552,-1.22311278099982
"Alabama",2020,"Jul",-1.63779438588245,0.15667384825807,-1.3518221944133,0.707892853058485,-1.07240977212642,0.73635908603281,"Symptoms of Anxiety Disorder",1.30091563734469,1.65319475185367,1.16253911127936,0.00769158175386731,2.50267547154986,-0.422813253322122
"Alabama",2020,"Jul",-1.63779438588245,0.15667384825807,-1.3518221944133,0.707892853058485,-1.07240977212642,0.73635908603281,"Symptoms of Anxiety Disorder or Depressive Disorder",1.8999739907618,1.65319475185367,1.16253911127936,-0.0863813776022106,2.56727058061976,-0.912708474371501
"Alabama",2020,"Jul",-1.63779438588245,0.15667384825807,-1.3518221944133,0.707892853058485,-1.07240977212642,0.73635908603281,"Symptoms of Depressive Disorder",0.293853083569541,1.65319475185367,1.16253911127936,0.16583536549367,2.394086191173,0.400737790709004
"Alabama",2020,"Jun",-1.63779438588245,0.15667384825807,-1.61335716190982,1.18400064160471,0.00541113839727082,0.160636987578245,"Symptoms of Anxiety Disorder",0.596547314018526,1.45038105262994,1.10754849807297,0.361579001236939,2.3239846400395,-0.035826790748008
"Alabama",2020,"Jun",-1.63779438588245,0.15667384825807,-1.61335716190982,1.18400064160471,0.00541113839727082,0.160636987578245,"Symptoms of Anxiety Disorder or Depressive Disorder",1.45283821688563,1.45038105262994,1.10754849807297,0.227111601119895,2.41631655386851,-0.736080478472764
